Gene	Num
TP53	96
CTNNB1	94
TTN	89
MUC16	59
PCLO	41
ALB	39
RYR2	33
APOB	31
CSMD3	29
LRP1B	29
XIRP2	29
OBSCN	27
ABCA13	27
HMCN1	26
ARID1A	26
FLG	26
CACNA1E	25
ADGRV1	23
USH2A	23
AXIN1	23
DNAH7	22
DOCK2	22
SPTA1	22
RYR1	22
CUBN	22
FAT3	21
CSMD1	21
RYR3	20
PCDH15	20
DMD	20
FREM2	20
FASN	19
AHNAK2	19
ARID2	19
PKHD1L1	19
LRP1	19
KMT2D	18
SDK1	18
COL11A1	18
HERC2	18
DNAH9	17
BAP1	17
PRUNE2	17
MUC17	17
FAT4	17
MYT1L	17
MUC5B	17
FAT2	17
DNAH5	17
PRKDC	17
DST	17
NBEA	16
FRAS1	16
HTT	16
PREX2	16
DCHS1	16
ABCA12	16
KIAA1109	16
SYNE1	16
FBN2	16
FBN1	16
KEAP1	16
COL6A6	16
DNAH8	15
LAMA1	15
NEB	15
POLQ	15
KMT2B	15
BIRC6	15
MYO3A	15
PKHD1	15
SPEG	15
RPS6KA3	14
KIF26B	14
ZFHX4	14
COL6A3	14
PLXNA4	14
LRRIQ1	14
MUC2	14
SPTBN1	14
HYDIN	14
ANKRD12	14
DNAH2	14
PXDNL	14
DYNC2H1	14
TG	14
SYNE2	14
TPO	14
APC	13
PCDH7	13
AHNAK	13
DNAH10	13
TDRD5	13
GLI2	13
DNAH1	13
EPHA4	13
THSD7B	13
RB1	13
COL12A1	13
LRP2	13
NPAP1	13
KMT2A	13
HECTD4	13
COL7A1	13
FMN2	13
RP1	13
PIK3CA	13
PREX1	12
PTPN13	12
FN1	12
FCGBP	12
DNAH17	12
NOS1	12
LAMA5	12
TSC2	12
ACVR2A	12
COL5A1	12
MYCBP2	12
CDH9	12
REV3L	12
PCDH11Y	12
MYH7	12
MYO18B	12
MYH4	12
BSN	12
MACF1	12
CNGA3	12
SVEP1	12
OTOGL	12
KMT2C	12
CSMD2	12
EVC2	12
NLGN4X	11
ZNF831	11
ROBO1	11
PTPRB	11
LRRK2	11
NLGN1	11
ADGRG4	11
ZNF208	11
PCNT	11
PATJ	11
CELSR3	11
ATM	11
SORCS3	11
TRPA1	11
C3	11
DHX9	11
ITPR3	11
NF1	11
IL6ST	11
MKI67	11
SI	11
SACS	11
BRD7	11
CELSR2	11
ADCY2	11
VCAN	11
UNC13C	11
GCN1	11
STAB1	11
RELN	11
SEMA6D	11
ATG2B	11
CDH18	11
ITPR1	11
UNC79	11
KIAA1217	11
ADGRL3	10
MEGF8	10
ZFYVE26	10
DSCAML1	10
ZFC3H1	10
PCDHB16	10
CUL9	10
SAGE1	10
TENM3	10
SF3B1	10
NUP214	10
EPPK1	10
ICE1	10
TNXB	10
TCF20	10
CARD11	10
DSCAM	10
EPB41L3	10
PLCB1	10
LAMA2	10
NTRK3	10
ZNF578	10
RP1L1	10
KIT	10
ATRNL1	10
ROBO2	10
CHD9	10
MYO9B	10
KNDC1	10
ZNF638	10
CAND1	10
ANK2	10
GABRG1	10
CACNA2D1	10
SLC9C1	10
MYH1	10
CNTNAP2	10
GLI3	10
FGA	10
SCN1A	10
IGF1R	10
PLA2G4A	10
GRIA1	10
ALMS1	10
HUWE1	10
ADAMTS19	10
DOCK10	10
CADPS	10
ATP8A2	10
HERC1	10
USP34	10
FANCM	10
ANKHD1-EIF4EBP3	10
FAT1	10
ZFHX3	10
MYO10	10
TRPS1	10
DOCK8	10
ERBB4	10
LRRC7	10
CR2	10
TENM2	10
MYH15	10
MYO18A	10
AHCTF1	10
WDFY3	10
ZNF536	10
NCOR2	10
ATR	10
CHL1	10
MAN2A1	10
MAP1B	10
DCDC1	10
PTPRT	10
KANK1	9
IRX1	9
FAM47A	9
ANK1	9
SMARCA4	9
MXRA5	9
KIF19	9
CACNA1A	9
JAK1	9
ZNF91	9
UBR4	9
TRIOBP	9
EEF1A1	9
FNDC1	9
PAK5	9
MAST4	9
MYH6	9
GPR158	9
COL16A1	9
NOTCH3	9
ZNF518A	9
LRRK1	9
STYXL2	9
RIMS1	9
SEMA3E	9
ABCB5	9
NUP133	9
RASA1	9
ADCY8	9
ANO4	9
CMYA5	9
ARID1B	9
CELSR1	9
HELZ	9
CYLC1	9
UNC45B	9
VPS13C	9
WNK2	9
BRINP3	9
PCDH9	9
SLIT2	9
ADAMTS9	9
IRS4	9
MGA	9
NBAS	9
NPAS3	9
ZNF521	9
SYCP2	9
CEP350	9
SPAG17	9
ZNF687	9
CEP290	9
SLC8A1	9
CTNNA2	9
ZNF804B	9
DCC	9
LAMA3	9
FER1L6	9
TLN1	9
FSIP2	9
DMBT1	9
ADGRL4	9
TRIP12	9
AKAP6	9
RANBP2	9
BPTF	9
GRIA2	9
SPHKAP	9
CDKN2A	9
TRPM6	9
PCNX2	9
EPHB3	9
UTP20	9
CTTNBP2	9
KCNB2	9
AFF2	9
BAZ2B	9
ABCA4	9
NYNRIN	9
NAV3	9
SHANK1	9
SPEN	9
TLL1	9
SALL1	8
CNTN5	8
ZFPM2	8
CFAP61	8
ZNF804A	8
NLRP3	8
GRXCR1	8
CCDC80	8
ASTN1	8
COBLL1	8
MIA3	8
SLC4A3	8
PCDHA7	8
FLNB	8
ATP10B	8
NCOA3	8
PTEN	8
KCNA5	8
COL4A4	8
HECW2	8
JARID2	8
PTPRZ1	8
ZDBF2	8
TNR	8
PCDH10	8
OR8H2	8
EPHA3	8
HECTD1	8
RESF1	8
SRRM2	8
GABBR1	8
MISP	8
DYSF	8
RNF213	8
CCDC178	8
PRR12	8
FBN3	8
SAMD9	8
C2CD3	8
KCNT1	8
CDH7	8
UBE4B	8
FHOD3	8
NRXN1	8
ASPM	8
DIDO1	8
HSPG2	8
PLA2R1	8
PDE3A	8
ADAMTS12	8
ASH1L	8
KIF26A	8
EIF2AK4	8
SEMA3A	8
COL18A1	8
CEP250	8
NFE2L2	8
MRC2	8
CFAP47	8
MUC6	8
FYCO1	8
CLTC	8
MED13	8
ATP2B2	8
ZNF227	8
HECW1	8
CACNA1B	8
TENM4	8
CENPE	8
PCDH11X	8
CACNA1H	8
RBL2	8
TENM1	8
MAP2	8
HRNR	8
PTPRC	8
ADAM12	8
SLC25A12	8
PDS5B	8
MAGI2	8
IGSF9B	8
TLR8	8
PCDHGA5	8
EML5	8
CPS1	8
SASH1	8
ADAMTS20	8
VPS13B	8
NCOR1	8
PDZD2	8
THADA	8
OR51G1	8
SEZ6L	8
TET1	8
SDK2	8
NLRP12	8
IGDCC4	8
COL22A1	8
TLN2	8
VAV3	8
PKD1L1	8
IRX4	8
MYO6	8
ARHGAP31	8
CTNND2	8
NLRP2	8
FLG2	8
DIP2C	8
ACACB	8
CNTLN	8
CENPF	8
SRCAP	8
PDZRN3	8
GRIP1	8
ABCA1	8
SETD2	8
CPAMD8	8
MYO7A	8
IPO7	8
CLSTN2	7
ANKRD11	7
EYS	7
DENND4A	7
INSRR	7
AOX1	7
MYH2	7
EVPL	7
CDH15	7
PGR	7
MYOM1	7
PCDHA13	7
PDGFRA	7
LY75	7
BAHCC1	7
TANC2	7
MRC1	7
NCOA6	7
PRKG1	7
LTBP4	7
MTOR	7
ARHGEF40	7
LRP4	7
PTPRM	7
CFAP54	7
FCRL1	7
STK32B	7
TRRAP	7
COP1	7
ADAMTSL1	7
COL27A1	7
ZBTB9	7
GPRIN1	7
USF3	7
NAV2	7
PRPF8	7
RNF123	7
ZNF318	7
NOTCH2	7
ABCB1	7
TNN	7
RUNX1T1	7
ZNF135	7
RECQL4	7
DNAH3	7
TMEM132E	7
ASXL3	7
ARID5B	7
ERICH3	7
NES	7
CCT3	7
MACC1	7
TSC1	7
CUX1	7
XPO6	7
ADAMTS2	7
BRINP2	7
AC006059.2	7
KMT2E	7
ZNF835	7
NBEAL2	7
PPP1R3A	7
OR5H14	7
GSE1	7
CNTN1	7
VWF	7
NEXMIF	7
OR2J3	7
CDHR2	7
NID2	7
ZNF292	7
POM121L12	7
ATF7IP	7
CRB1	7
SVIL	7
KCNA1	7
EGFR	7
HIPK3	7
PLEKHA5	7
SCN9A	7
MECOM	7
FCRL5	7
GREB1	7
ADAMTSL3	7
ARHGAP35	7
PLCB4	7
ASCC3	7
CHD4	7
FSTL5	7
COL19A1	7
IVL	7
COPA	7
COL11A2	7
SPTAN1	7
MAGEL2	7
EHBP1L1	7
DENND5B	7
KIAA1210	7
FBXL7	7
TNPO1	7
TPTE	7
CNTNAP5	7
ANKRD30A	7
SLC22A8	7
PHACTR3	7
SCRIB	7
TACC2	7
SORCS1	7
DSE	7
ITIH5	7
SPECC1	7
F5	7
FLRT2	7
ITGAD	7
TCHH	7
SETX	7
USP48	7
MLH3	7
GRM8	7
DYNC1H1	7
EP300	7
MYH14	7
NSD1	7
HDAC9	7
KIF14	7
PIK3C2G	7
ANK3	7
KALRN	7
MLXIPL	7
MYOCD	7
SLC6A15	7
PCDHGA10	7
DDX60L	7
GRIA4	7
CDH23	7
RFX7	7
TDRD6	7
MYH7B	7
TEP1	7
FILIP1	7
ADCY5	7
OR5D18	7
GPHN	7
SPTBN2	7
KDR	7
BMPER	7
USP19	7
OR5L1	7
AMPH	7
ALK	7
PBRM1	7
ARHGEF10L	7
DHX57	7
TJP1	7
LRFN5	7
NTRK2	7
DZIP3	7
COL15A1	7
CR1	7
TMEM132D	7
LAMB2	7
ATP8A1	7
BEND3	7
CHRM3	7
LRFN2	7
SPTBN5	7
FMN1	7
SEMA3D	7
IDH1	7
LNPEP	7
MED13L	7
COL3A1	7
ITGB4	7
PXDN	7
