Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"TERT","Telomerase Reverse Transcriptase","Protein Coding","O14746","64","GC05M001253","91.5495147705078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERT"
"TERC","Telomerase RNA Component","RNA Gene","","36","GC03M169765","49.9389114379883","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERC"
"TEP1","Telomerase Associated Protein 1","Protein Coding","Q99973","52","GC14M020365","40.1682777404785","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TEP1"
"PINX1","PIN2 (TERF1) Interacting Telomerase Inhibitor 1","Protein Coding","Q96BK5","46","GC08M010827","31.6641235351563","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PINX1"
"ACD","ACD Shelterin Complex Subunit And Telomerase Recruitment Factor","Protein Coding","Q96AP0","54","GC16M067865","26.5347633361816","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACD"
"WRAP53","WD Repeat Containing Antisense To TP53","Protein Coding","Q9BUR4","52","GC17P153763","25.8152008056641","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WRAP53"
"LOC110806263","TERT 5' Regulatory Region","Functional Element","","10","GC05P001294","24.6846942901611","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110806263"
"DKC1","Dyskerin Pseudouridine Synthase 1","Protein Coding","O60832","60","GC0XP154762","22.9474353790283","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DKC1"
"LOC110806306","Telomerase RNA Component (TERC) Promoter","Functional Element","","9","GC03P169764","22.199010848999","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110806306"
"POT1","Protection Of Telomeres 1","Protein Coding","Q9NUX5","55","GC07M124822","21.2681465148926","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POT1"
"SMG6","SMG6 Nonsense Mediated MRNA Decay Factor","Protein Coding","Q86US8","51","GC17M002059","19.3697910308838","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMG6"
"TERF1","Telomeric Repeat Binding Factor 1","Protein Coding","P54274","55","GC08P073008","16.475061416626","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERF1"
"RTE1","Repressor Of Telomerase Expression 1","Genetic Locus","","2","GC00U916808","14.9287662506104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RTE1"
"TRIR","Telomerase RNA Component Interacting RNase","Protein Coding","Q9BQ61","42","GC19M108216","14.7482194900513","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIR"
