
Generated at: 2025/09/02 22:22:18
mirDIP version: 5.3.0.2.
Database version: 5.2.3.1



Gene Symbol     - 
Micro RNA       - hsa-miR-126-5p
Minimum Score   - Medium


Results (4872) 
Gene Symbol	Uniprot	Pseudogene	MicroRNA	Integrated Score	Number of Sources	Score Class	Sources
MAP3K2	Q9Y2U5		hsa-miR-126-5p	0.728553173669664	10	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag|PACCMIT
FGF7	P21781		hsa-miR-126-5p	0.722680631124872	10	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag|PACCMIT
CASK	O14936		hsa-miR-126-5p	0.718960023697563	10	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag|PACCMIT
TRPS1	Q9UHF7		hsa-miR-126-5p	0.714274629170604	10	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag|PACCMIT
CCNT2	O60583		hsa-miR-126-5p	0.710721132521532	11	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag|PACCMIT
HOXC8	P31273		hsa-miR-126-5p	0.708087645708199	9	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag|PACCMIT
TRIM8	Q9BZR9		hsa-miR-126-5p	0.707360069243654	8	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|PACCMIT
GABRB2	P47870		hsa-miR-126-5p	0.700703798854421	10	Very High	bitargeting_May_2021|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag|PACCMIT
MACC1	Q6ZN28		hsa-miR-126-5p	0.695822080431495	10	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag|PACCMIT
INPP5D	Q92835		hsa-miR-126-5p	0.691791373079235	9	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag|PACCMIT
TRMT9B	Q9P272		hsa-miR-126-5p	0.69110373734352	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag
TBC1D15	Q8TC07		hsa-miR-126-5p	0.672921479984824	11	Very High	bitargeting_May_2021|DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag
ESRRG	P62508		hsa-miR-126-5p	0.671404423944915	8	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag|PACCMIT
RABL3	Q5HYI8		hsa-miR-126-5p	0.66883139030758	10	Very High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag|PACCMIT
PDE7B	Q9NP56		hsa-miR-126-5p	0.664655896031344	9	Very High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag|PACCMIT
